SYMBOL,CURRENCY,SECTOR
MMM,USD,Conglomerate
AXP,USD,Financial services
AMGN,USD,Biopharmaceutical
AAPL,USD,Information technology
BA,USD,Aerospace and defense
CAT,USD,Construction and mining
CVX,USD,Petroleum industry
CSCO,USD,Information technology
KO,USD,Drink industry
DIS,USD,Broadcasting and entertainment
DOW,USD,Chemical industry
GS,USD,Financial services
HD,USD,Home Improvement
HON,USD,Conglomerate
IBM,USD,Information technology
INTC,USD,Semiconductor industry
JNJ,USD,Pharmaceutical industry
JPM,USD,Financial services
MCD,USD,Food industry
MRK,USD,Pharmaceutical industry
MSFT,USD,Information technology
NKE,USD,Clothing industry
PG,USD,Fast-moving consumer goods
CRM,USD,Information technology
TRV,USD,Insurance
UNH,USD,Managed health care
VZ,USD,Telecommunications industry
V,USD,Financial services
WBA,USD,Retailing
WMT,USD,Retailing
